intersection,metric,scale,variance,agent,n,mean,sd,ci95
Toryská - Trieda SNP,total_wait,0.2,0.3,SAC same reward,10,48639.6,5728.218710908304,4097.720813758634
Toryská - Trieda SNP,total_wait,0.2,0.3,Reward trip only,10,83172.6,12037.69022879574,8611.244837104623
Toryská - Trieda SNP,total_wait,0.2,0.3,Reward dwait only,10,23592.4,3390.896053323435,2425.7009091735904
Toryská - Trieda SNP,total_wait,0.2,0.3,Reward dwait w1.0,10,18274.5,3339.542292324237,2388.964641595247
Toryská - Trieda SNP,total_wait,0.2,0.3,Reward flow,10,12275.3,1117.2057454998062,799.2008454333911
Toryská - Trieda SNP,total_wait,0.2,0.5,PPO full,10,8839.2,1292.5794022461876,924.6556019122439
Toryská - Trieda SNP,total_wait,0.2,0.5,SAC same reward,10,45564.0,8807.329674765218,6300.3841060036675
Toryská - Trieda SNP,total_wait,0.2,0.5,Reward trip only,10,72392.0,22119.495192150196,15823.333642289557
Toryská - Trieda SNP,total_wait,0.2,0.5,Reward dwait only,10,24428.2,6655.127727299204,4760.79157984034
Toryská - Trieda SNP,total_wait,0.2,0.5,Reward dwait w1.0,10,15989.4,2789.8095195829333,1995.7095061763534
Toryská - Trieda SNP,total_wait,0.2,0.5,Reward flow,10,12483.9,2499.066201159501,1787.7242654773233
Toryská - Trieda SNP,total_wait,0.2,0.8,PPO full,10,8823.7,1346.0654639850668,962.9172255503246
Toryská - Trieda SNP,total_wait,0.2,0.8,SAC same reward,10,41159.5,6884.698480446814,4925.016603513369
Toryská - Trieda SNP,total_wait,0.2,0.8,Reward trip only,10,66631.6,16005.080396201978,11449.344792038786
Toryská - Trieda SNP,total_wait,0.2,0.8,Reward dwait only,10,20804.0,5019.823724218035,3590.965567874752
Toryská - Trieda SNP,total_wait,0.2,0.8,Reward dwait w1.0,10,16832.7,3037.0471422821943,2172.5726469900396
Toryská - Trieda SNP,total_wait,0.2,0.8,Reward flow,10,11426.9,1167.4927028085062,835.1739676244217
Toryská - Trieda SNP,total_wait,0.6,0.3,PPO full,10,35456.3,3586.1684303879415,2565.3903526519925
Toryská - Trieda SNP,total_wait,0.6,0.3,SAC same reward,10,98168.4,2877.3899129438664,2058.3607453947247
Toryská - Trieda SNP,total_wait,0.6,0.3,Reward trip only,10,124947.1,6435.418806193665,4603.621285824129
Toryská - Trieda SNP,total_wait,0.6,0.3,Reward dwait only,10,72329.3,6195.326303844787,4431.869456197081
Toryská - Trieda SNP,total_wait,0.6,0.3,Reward dwait w1.0,10,33354.3,3959.824744999595,2832.687977768987
Toryská - Trieda SNP,total_wait,0.6,0.3,Reward flow,10,32801.4,2716.923554316536,1943.5700275746983
Toryská - Trieda SNP,total_wait,0.6,0.5,PPO full,10,34982.8,2968.617403588561,2123.6209608417807
Toryská - Trieda SNP,total_wait,0.6,0.5,SAC same reward,10,99649.9,4333.099287269256,3099.712499404627
Toryská - Trieda SNP,total_wait,0.6,0.5,Reward trip only,10,122003.5,8524.735971799297,6098.228749003172
Toryská - Trieda SNP,total_wait,0.6,0.5,Reward dwait only,10,74044.6,4272.667269984875,3056.482038498507
Toryská - Trieda SNP,total_wait,0.6,0.5,Reward dwait w1.0,10,35086.5,3766.871447235756,2694.6575036838103
Toryská - Trieda SNP,total_wait,0.6,0.5,Reward flow,10,34015.6,3079.7949498843805,2203.1525863733686
Toryská - Trieda SNP,total_wait,0.6,0.8,PPO full,10,34114.1,3418.1820525601684,2445.220137163898
Toryská - Trieda SNP,total_wait,0.6,0.8,SAC same reward,10,96843.4,3995.225600638843,2858.0122243277933
Toryská - Trieda SNP,total_wait,0.6,0.8,Reward trip only,10,124963.9,7880.2155561324025,5637.166618616776
Toryská - Trieda SNP,total_wait,0.6,0.8,Reward dwait only,10,74086.2,3724.485342522731,2664.3363109601523
Toryská - Trieda SNP,total_wait,0.6,0.8,Reward dwait w1.0,10,32880.9,2980.255113986795,2131.946077344844
Toryská - Trieda SNP,total_wait,0.6,0.8,Reward flow,10,34573.1,4519.951534892578,3233.3785451381113
Toryská - Trieda SNP,total_wait,1.0,0.3,PPO full,10,74112.8,10597.168854620244,7580.75792388983
Toryská - Trieda SNP,total_wait,1.0,0.3,SAC same reward,10,117024.7,2993.211766276783,2141.2147080387476
Toryská - Trieda SNP,total_wait,1.0,0.3,Reward trip only,10,131203.9,10396.694543619782,7437.347241045939
Toryská - Trieda SNP,total_wait,1.0,0.3,Reward dwait only,10,99103.8,4705.987387242861,3366.460576875025
Toryská - Trieda SNP,total_wait,1.0,0.3,Reward dwait w1.0,10,62989.9,3019.1011705104843,2159.734872148792
Toryská - Trieda SNP,total_wait,1.0,0.3,Reward flow,10,64115.5,5181.631644569112,3706.7159811386464
Toryská - Trieda SNP,total_wait,1.0,0.5,PPO full,10,70249.3,6850.495619539753,4900.549350759548
Toryská - Trieda SNP,total_wait,1.0,0.5,SAC same reward,10,113459.2,4197.398686488255,3002.63813749157
Toryská - Trieda SNP,total_wait,1.0,0.5,Reward trip only,10,137070.1,5326.728190091091,3810.5117970102815
Toryská - Trieda SNP,total_wait,1.0,0.5,Reward dwait only,10,99134.8,6856.89782141555,4905.1292100848195
Toryská - Trieda SNP,total_wait,1.0,0.5,Reward dwait w1.0,10,62121.2,6521.394956432081,4665.124918645951
Toryská - Trieda SNP,total_wait,1.0,0.5,Reward flow,10,65975.8,4240.329567904416,3033.349039992028
Toryská - Trieda SNP,total_wait,1.0,0.8,PPO full,10,69725.9,8866.978220716834,6343.054105281263
Toryská - Trieda SNP,total_wait,1.0,0.8,SAC same reward,10,112134.5,4837.00530057367,3460.1851459820855
Toryská - Trieda SNP,total_wait,1.0,0.8,Reward trip only,10,130583.0,8350.691188957555,5973.724611649168
Toryská - Trieda SNP,total_wait,1.0,0.8,Reward dwait only,10,97890.2,3951.520151930281,2826.7472297655763
Toryská - Trieda SNP,total_wait,1.0,0.8,Reward dwait w1.0,10,65226.9,5490.496950792948,3927.664910960612
Toryská - Trieda SNP,total_wait,1.0,0.8,Reward flow,10,60993.6,5270.040484769649,3769.9598555249577
Toryská - Trieda SNP,total_wait,1.4,0.3,PPO full,10,114510.5,8012.8133948070945,5732.021398229502
Toryská - Trieda SNP,total_wait,1.4,0.3,SAC same reward,10,129769.3,4346.603681803376,3109.3729612955626
Toryská - Trieda SNP,total_wait,1.4,0.3,Reward trip only,10,139911.3,7240.502853163354,5179.543718710707
Toryská - Trieda SNP,total_wait,1.4,0.3,Reward dwait only,10,122593.5,3892.730896598599,2784.6919299671854
Toryská - Trieda SNP,total_wait,1.4,0.3,Reward dwait w1.0,10,91764.9,4044.9324249265555,2893.5703443558787
Toryská - Trieda SNP,total_wait,1.4,0.3,Reward flow,10,100773.7,7640.168643426662,5465.447401855787
Toryská - Trieda SNP,total_wait,1.4,0.5,PPO full,10,115163.2,6991.7682837271805,5001.6097267109
Toryská - Trieda SNP,total_wait,1.4,0.5,SAC same reward,10,133778.5,7911.954236048976,5659.871102481489
Toryská - Trieda SNP,total_wait,1.4,0.5,Reward trip only,10,135664.3,6744.0518327057825,4824.404052750199
Toryská - Trieda SNP,total_wait,1.4,0.5,Reward dwait only,10,119200.6,4470.16480431961,3197.7632635970376
Toryská - Trieda SNP,total_wait,1.4,0.5,Reward dwait w1.0,10,92577.3,6719.097774255112,4806.5529947055165
Toryská - Trieda SNP,total_wait,1.4,0.5,Reward flow,10,100795.2,5389.713387555966,3855.5686929907056
Toryská - Trieda SNP,total_wait,1.4,0.8,PPO full,10,112502.3,7067.10927937772,5055.505428252219
Toryská - Trieda SNP,total_wait,1.4,0.8,SAC same reward,10,132810.8,5735.46946252489,4102.9076890010365
Toryská - Trieda SNP,total_wait,1.4,0.8,Reward trip only,10,140871.1,7123.354585056429,5095.740896097915
Toryská - Trieda SNP,total_wait,1.4,0.8,Reward dwait only,10,118454.2,4601.966821069251,3292.0487464997545
Toryská - Trieda SNP,total_wait,1.4,0.8,Reward dwait w1.0,10,94549.5,7818.416552530883,5592.958274608322
Toryská - Trieda SNP,total_wait,1.4,0.8,Reward flow,10,101566.9,8666.521401987717,6199.655935654479
